100000 100000
H 21900 8557
S 26780 7572
H 18838 4117
S 29970 24943
S 16282 3428
A 3256 20183
S 16395 5014
S 2692 6358
H 30909 12116
H 20689 15773
A 11271 31698
H 26176 6610
A 5209 17795
H 22239 881
H 5531 10119
S 31181 17539
A 231 26603
S 21394 4019
H 8088 30256
H 28520 17373
S 9320 10517
A 14412 26369
S 24205 13079
S 19830 21349
S 10709 4459
S 23897 11243
S 4093 24472
S 29483 31017
H 28967 19324
S 21667 12448
H 11749 26807
S 23163 28677
A 10333 17083
S 5588 18619
A 5093 6765
S 19265 15891
H 23770 11627
H 27929 23015
S 24556 12046
A 13170 27566
S 20487 32454
S 3428 12929
S 16673 20454
S 23027 19772
S 21033 18027
S 19250 2366
S 5552 11892
H 15153 14529
S 16255 10509
S 15006 21244
S 11994 26334
S 27552 29448
H 31647 24153
S 31914 2791
A 11894 16513
S 15358 16519
S 1809 24615
S 18380 18639
S 2650 18437
S 26682 31008
S 2860 14052
H 30647 16840
S 15731 17238
S 13152 25695
S 30769 3903
H 12395 3843
S 23016 21510
S 21703 8689
A 1298 4517
S 24703 22252
A 225 19338
S 8826 23144
H 1267 20370
S 11949 13444
A 640 30415
A 9443 13357
A 15034 26177
S 7837 30976
H 20967 15674
H 32701 18629
S 12177 6644
S 30966 9121
H 4317 22408
H 23611 5704
S 7708 8201
H 17058 11221
S 5605 17349
S 16500 10525
A 2539 18506
S 20321 31119
S 16870 10532
S 17 31226
H 5046 15615
H 15248 10210
S 11264 11579
S 12858 15388
S 17664 26384
S 22842 28132
A 12609 13519
S 22717 6082
S 32370 4849
A 18881 23647
H 22690 10210
S 9344 3310
S 20600 22226
S 21123 18974
H 18248 1274
A 808 31327
A 6682 9735
A 4527 12666
S 16632 20403
S 25098 1225
S 2588 15797
H 2418 28955
A 9863 28890
S 21073 23126
H 24152 22205
S 9793 13071
S 30321 3036
S 31344 3681
A 18669 32090
S 11247 30368
S 29402 11854
H 202 2417
S 17980 2917
A 13286 31366
H 4675 15422
S 23456 18804
H 12995 15942
H 25881 18133
S 19887 3738
S 12858 28220
S 10170 10657
A 2066 7262
S 24808 14062
H 15193 20030
H 3983 23966
S 19136 24006
H 12483 15530
A 3976 17627
H 6955 24554
A 13893 22559
H 7579 5557
S 20655 259
S 17686 4711
S 6889 3810
S 32263 9779
S 29435 12267
S 29386 16142
H 2270 23693
S 15837 21394
S 23947 30091
H 20566 29991
S 18768 23677
A 23916 30427
S 17533 31036
A 9132 16951
S 753 23243
A 14902 19700
A 2090 25247
S 2418 7417
H 23775 24399
A 11709 24681
S 20567 14360
A 28601 30197
A 23738 32496
H 22377 8069
S 1180 9614
S 17199 16652
A 7482 15860
S 13690 746
A 10082 19987
A 5116 31469
S 23270 28088
A 26248 29466
S 3652 21933
S 31351 10786
S 4149 13421
S 27549 7396
A 19389 30544
A 27027 30187
A 2118 16338
S 3042 7105
S 12636 26577
A 5592 29712
A 11164 18266
S 17877 5666
S 14656 24338
H 2846 23406
H 5928 13706
S 31948 9468
H 25712 25045
H 13572 8002
S 32102 24777
H 7849 21137
S 13866 19471
A 13722 24529
H 20560 15566
S 15838 15489
H 29153 7704
S 4177 29238
S 970 7458
A 9488 23460
H 5864 14756
A 11992 16852
H 30245 25344
S 24183 32696
S 12642 7933
S 26680 11006
S 44 32052
H 28884 17649
H 11368 9861
H 26162 15076
A 5237 14898
A 6463 17462
S 4476 29292
H 1240 193
S 31206 18549
A 4989 29773
S 24877 5293
A 2154 23618
A 282 28037
H 1665 11880
H 28939 9550
A 17778 30008
H 14212 22716
S 16806 12654
H 31437 17623
S 5922 18561
H 32652 4753
H 23040 7352
S 18624 18195
A 16364 30259
A 4549 27720
S 11641 25717
H 11123 517
H 4195 15626
S 23092 25878
S 3104 1896
H 9376 32045
A 20244 28753
A 13735 26800
S 18661 19635
S 29532 31996
S 9752 27546
S 17439 6730
S 3731 13541
S 28034 9876
H 30797 27217
H 26828 31617
A 13581 27202
H 21084 14276
H 1426 9153
S 12382 7796
S 4812 15442
S 658 3906
H 28339 25332
A 12306 14496
S 1688 29356
H 18776 298
A 12036 19554
A 1018 22524
S 13701 771
S 8914 13239
S 16121 26140
A 5720 30860
S 14641 30320
H 11211 63
S 23814 11575
S 11117 26354
H 14907 2561
S 9878 5236
A 6329 25723
A 12158 23129
S 13062 22146
H 16707 20441
S 31765 2124
A 39 29830
A 2955 22191
S 2310 6529
H 28464 5080
S 20451 28984
A 2506 22603
A 10767 14051
S 12815 897
S 32268 4751
A 3685 26769
S 16798 1514
H 2240 16525
S 16360 21996
H 11959 12962
H 24801 9151
H 30137 25099
S 18675 11015
H 7719 26170
S 28079 31547
S 7792 28424
S 32365 2385
S 4356 1115
S 19464 30729
H 13882 3570
H 550 32651
A 15197 30593
S 18908 3338
H 2920 19787
S 8329 6566
S 29297 30902
S 7989 25555
H 4768 29074
S 28135 14557
H 19524 28169
H 31648 25708
S 3192 29806
H 7941 14865
S 12865 21869
S 19676 4422
A 8476 8536
S 26855 1636
S 10757 255
S 10949 29564
S 3985 31259
A 27160 29661
H 32571 426
H 5250 4941
S 18360 21525
H 11727 19881
S 9628 28980
S 27373 14553
H 4936 21007
H 1989 11560
S 19242 11148
S 21570 28955
H 8567 11987
H 27321 27098
S 5800 850
S 29963 4903
S 5720 32669
S 28576 21008
S 20060 15783
S 10827 16804
S 30769 23557
S 9909 31560
H 25352 24886
H 12521 9355
H 5918 5932
A 19077 31240
H 6950 9347
S 26206 22305
S 19174 30250
H 30535 18155
A 1906 23138
A 3745 17969
S 8989 4022
H 3275 4765
S 16732 25626
H 19282 31374
S 25978 16662
S 1509 9691
S 8606 715
A 3016 12326
H 30330 25673
H 21098 10326
S 475 32092
A 8338 14125
H 2100 13171
S 25980 1238
S 11882 32185
S 25275 22275
H 11135 1416
S 14234 4879
S 4609 9133
S 5020 13827
S 8001 20540
S 14314 29631
S 21173 7660
H 26744 31512
S 31257 6953
H 14533 31499
S 28465 16995
S 27010 10584
S 2609 20546
A 9091 17691
S 22582 12739
S 4554 28738
A 1884 5495
S 32648 20723
S 16978 21067
H 106 18489
A 7080 29559
A 6287 15764
H 11236 11733
S 9969 5952
S 17661 3791
A 1363 20533
A 21327 32547
S 8463 23031
S 14314 4969
S 26312 21368
H 6525 31338
S 8578 3286
H 24789 32037
A 18256 20506
H 3223 7455
A 8256 20904
S 24136 10959
A 8926 32313
A 4353 5890
A 3401 13797
A 13182 17506
S 26388 2076
H 3740 28262
A 20574 31139
S 7856 20732
A 5612 23540
S 8247 27082
A 11478 26597
S 9287 13173
S 29933 2705
S 21334 14485
S 17121 12038
A 10851 31270
S 8483 17100
H 8742 14635
H 3303 633
S 8138 20152
S 9981 12950
A 10809 25022
H 22994 11569
H 25105 6733
S 22260 31927
S 30363 32061
H 5114 27864
S 28755 6282
H 8602 24745
S 4438 4182
S 10575 26955
S 28606 7255
A 6830 23785
S 28583 23374
S 201 1112
H 10481 10049
S 17613 4655
H 23966 23525
S 10508 32186
A 11228 28144
H 755 29271
S 29471 19807
A 10068 11359
S 1494 9672
S 18898 2288
H 18846 30543
H 13775 9645
S 26111 2013
H 20218 1917
H 9756 8101
S 29598 30892
H 19416 13597
S 12444 663
S 21345 27637
S 25329 18580
S 7200 26551
A 4698 19340
H 10362 15882
A 13121 28858
A 7633 14320
H 32080 53
H 30581 22442
S 7138 5540
S 29209 10602
S 20322 27927
S 24668 20907
H 1211 3452
H 32445 20876
S 17863 7613
A 12854 17519
A 5540 12117
S 14636 28855
S 28373 14164
A 11865 21924
H 12541 11462
S 23552 15497
S 3855 31111
S 32355 25298
H 4172 26342
A 1915 8880
H 17772 413
H 7550 4122
A 10511 16560
H 12832 26388
S 31464 11216
S 21102 9649
S 26759 2006
H 24463 28480
H 26960 12015
S 21972 10408
H 16986 8265
S 14757 26386
H 17738 20022
H 6702 16755
A 13163 30992
S 26580 10915
S 22434 15724
S 12505 31983
S 20819 23020
S 16575 8567
S 4571 4926
A 3249 12103
S 19517 19501
A 12825 30440
S 27125 26074
S 4224 4753
S 12102 31347
A 23503 31422
S 2427 28111
S 20190 17271
H 7537 29033
H 4882 15732
A 7120 19236
S 12804 28004
S 11701 18139
S 24473 7607
H 18363 18615
H 3359 11459
S 10921 2736
A 2519 30847
S 8239 14807
S 26976 23792
S 26483 30761
S 7018 25187
H 6239 20003
A 4105 22712
S 22002 25432
S 14181 19607
A 18177 30628
S 27862 6644
S 18985 7906
S 3566 6681
S 1250 16169
S 3677 31408
S 5871 22008
S 26138 29211
S 12970 8930
H 12394 13279
A 5778 28628
S 23048 31666
S 12784 23360
A 7237 21908
A 2030 15445
S 8507 28351
S 23936 8715
H 20838 20057
H 18500 2376
S 1340 9758
S 3307 22468
S 13738 19076
S 32113 13531
A 7949 23664
S 28495 9020
H 4566 11962
S 4764 791
S 10038 4574
H 18792 26485
S 5707 31171
S 23455 2595
S 11077 4064
A 11192 25303
A 6544 25611
S 9942 5525
H 10563 21130
A 11953 20983
H 21996 32649
S 21458 4719
H 2216 10216
A 14180 31563
H 1562 27
H 3902 2909
S 5589 10314
S 13636 6993
H 19410 18818
A 12589 24593
S 11887 8491
H 2514 26698
H 11612 32210
A 11151 29173
S 30721 24927
S 29777 15216
S 585 15435
H 18678 11789
S 31953 21121
H 776 17944
S 16877 9694
S 19053 3404
S 19202 2970
S 24381 26019
S 14879 10490
S 18223 20612
S 29163 18709
A 3487 25724
A 8348 10800
S 29425 31549
A 30178 31157
S 21283 24607
H 32297 4757
S 29951 2891
H 12603 12776
S 27185 4183
A 6429 9800
H 32285 26379
S 28189 432
S 29776 27515
S 18107 17304
H 4028 14303
H 6950 4943
S 5151 9176
A 15262 31399
H 24672 27878
S 12511 17556
S 23492 14898
A 11570 13170
S 2384 25088
H 29811 22131
H 31666 8544
S 12383 32308
H 27007 26369
H 6341 31152
S 5302 30758
H 12141 15366
H 27066 9011
H 7631 8398
H 31048 30034
H 5885 2032
A 3603 4370
A 2621 17209
S 27151 25114
A 845 7980
H 141 3651
S 23370 32179
A 6580 16051
H 27052 21693
H 264 15316
H 18137 15356
H 1004 27957
S 31290 23600
A 10938 26222
S 11223 22468
H 25535 32430
H 13796 30640
S 7454 4231
A 19663 22741
S 21790 32387
S 29855 21839
A 106 20120
H 12494 17019
H 28068 22543
S 22499 10131
S 7785 25708
H 18040 6711
S 22699 12918
S 25963 17727
H 10329 13033
S 9579 5028
H 17042 24265
S 17962 23651
S 11219 7244
H 2515 3496
H 8012 13407
H 26000 1190
S 4244 11534
S 26190 19679
S 6188 30577
H 27902 15570
H 12439 8176
A 8004 10241
S 11503 9720
S 22406 8096
S 4927 23671
H 2298 21793
S 21514 18115
A 6631 23493
A 1478 23976
A 3272 15160
S 9781 5851
S 6855 15164
H 15589 32005
S 857 562
S 24887 12571
S 30514 17876
A 24007 27587
S 11795 16199
H 19955 3082
H 20306 19197
A 29788 31779
A 25396 29230
A 21939 27131
S 6000 24271
H 21449 26147
S 19310 15431
H 21171 5991
A 5723 10538
S 21293 15718
S 5566 13574
S 26609 5001
H 4342 3893
S 31074 11671
S 15756 1954
H 27698 32571
A 3649 21463
S 22856 25551
A 16136 17918
S 13400 28176
S 10589 16829
S 19440 8067
S 21955 7383
S 18658 30129
H 26082 29327
A 3151 3976
H 8588 21807
H 21187 6012
H 4354 12495
H 10278 12105
A 19853 20216
S 19304 24666
S 25690 18327
A 8262 29232
S 5541 24836
H 15363 23264
S 11909 1034
H 24973 15311
S 17927 18988
S 6172 12201
S 22100 7074
S 2670 22786
S 4371 8127
H 32602 4082
S 31308 15806
S 7170 770
S 22387 25901
S 29326 18039
H 26724 7275
S 4000 7032
S 15993 14580
S 18432 2700
A 27135 30833
S 30004 9551
S 12472 17097
A 27389 29054
S 8232 31905
S 2286 13227
S 9440 20234
S 12960 6699
A 27660 29788
S 32297 14633
S 18142 17251
H 23520 28383
S 8124 10599
S 11161 13149
S 24372 22719
S 29402 6514
A 29475 29933
H 1208 28296
S 5269 18033
A 1438 14175
S 31044 20436
H 3186 23961
S 25540 19107
S 18624 3493
S 4536 28229
A 11534 16999
H 27053 15357
H 9433 11555
H 4711 12918
H 8543 8748
S 23492 4249
A 18011 22064
S 9606 697
S 23339 16964
H 19102 1575
H 28254 17593
H 6096 20169
S 4827 10533
S 2765 22364
H 25894 27680
A 4872 20563
S 27748 24481
S 24575 10911
H 15924 23313
A 174 21187
H 23925 28251
H 18009 9718
S 27535 12710
S 4352 3664
S 16609 21383
S 30225 21549
H 11348 1470
S 8756 25162
H 17230 27877
S 32074 18248
A 8827 20890
S 1011 31393
H 5406 4607
S 3123 9259
A 7148 18616
H 21271 11449
H 3486 23201
S 20322 903
H 23233 12019
S 27048 5997
H 11117 19865
A 21512 29805
S 26844 3547
A 7956 21089
S 7725 29616
H 13514 10684
H 17068 25682
S 21678 14475
H 17776 2792
H 744 9925
S 25915 11367
S 2666 6660
S 20700 22007
A 13709 26945
H 2940 21367
S 30678 24843
H 28065 17410
S 19826 10873
S 9938 128
S 25946 30297
S 11548 27805
A 12572 31560
A 17607 24291
H 16819 28844
S 4299 7171
H 31485 18894
A 4782 9374
S 12204 23437
H 26484 27537
S 13770 7254
S 9354 5839
S 2079 8548
H 26512 8840
S 8990 11652
S 9297 20316
S 3116 25791
A 13053 23299
S 26704 21954
S 6027 32186
A 17335 21726
S 12260 10038
A 15760 28139
A 20058 30671
S 17446 18817
S 25319 13032
A 5945 31560
H 11255 21210
S 23387 12789
S 13966 7475
S 8625 5228
S 2739 10845
H 23280 9052
H 23539 1657
S 14003 8251
S 17488 29735
H 32689 4668
S 12460 3753
A 5634 27903
H 16329 26748
A 843 12639
S 22009 16307
S 3957 14749
S 14094 13241
S 5794 16248
H 25902 8264
S 28585 10163
S 7827 28595
H 14670 22332
H 28002 27350
A 16134 20182
S 9244 22351
S 14041 290
S 9816 9411
S 16880 18987
S 20678 4194
A 8084 14620
H 1197 4584
A 18945 30837
S 6745 10186
A 13129 31208
S 6978 16464
S 7621 28958
S 28621 7116
S 7980 29866
H 30188 10289
H 10631 17336
A 3353 4272
H 13990 21802
S 22874 7211
H 24890 25044
S 8771 2971
S 25958 23624
H 5189 1471
A 3572 16603
A 6564 20395
S 28392 17535
S 19934 10769
A 5893 27566
S 2427 14680
S 1203 28464
S 32116 29409
S 30165 7457
S 7348 13322
H 18638 19760
H 30564 30663
A 6557 26112
S 32505 9718
A 20115 30851
H 15174 17326
A 10637 14385
A 6138 28221
A 15191 26042
H 28501 4755
S 4263 13223
H 8696 20806
H 21064 27034
A 893 13597
H 2319 18263
S 26520 28507
H 9032 25422
A 17259 31423
H 1183 4199
A 8578 13541
S 23802 4831
H 29041 12397
S 4723 8179
S 18341 22685
S 11947 14162
S 7993 10011
H 31275 13964
S 19169 23236
S 20627 26099
S 10059 1757
S 20164 31658
S 10670 31458
H 22604 31968
S 17825 6266
S 9142 20055
S 17728 9870
S 5522 31959
A 8138 23794
H 16463 6937
H 23089 26155
S 29501 22084
A 23133 32050
H 27983 25376
S 8462 11075
H 6267 30085
S 26529 3606
S 14532 24752
A 2335 30243
S 18001 6784
S 31609 25759
S 19494 29904
S 5255 13226
A 11603 18279
A 20628 30325
H 12469 18995
H 12393 24710
H 14242 21193
A 670 10965
S 7698 22885
S 31900 26223
S 806 26844
S 17152 32384
S 12060 14906
S 26465 14032
S 2061 2057
S 1958 788
H 6413 28275
S 6771 3491
S 10115 17592
S 24402 13932
S 16596 4530
S 2648 29581
S 7859 24669
S 22516 28007
S 19124 6816
H 8422 28217
A 6653 32707
S 28557 434
S 29 6492
S 20243 31477
H 25720 3223
H 25115 6145
H 10186 7973
S 4609 12170
A 3639 28586
A 10439 21135
S 11291 15179
S 14152 7519
S 12165 1468
H 5708 11219
H 11187 14674
S 27782 21200
H 1701 6468
S 15530 30083
H 20565 3176
H 26148 5836
H 16072 6789
S 2060 14285
S 2043 5129
H 10602 15021
A 13454 18829
H 15093 27860
H 31800 9711
S 17861 7771
A 17777 19679
S 14257 21609
S 25551 2367
H 2391 17059
H 774 25516
S 17147 23562
H 2707 20210
H 31935 1492
S 1652 32620
S 11242 22303
S 11136 13184
S 12842 26267
H 16693 28584
A 883 1313
S 31002 30163
S 13210 26912
H 12 29442
S 23350 5616
S 28678 20330
H 7285 31328
S 18758 3204
S 5218 19358
S 20454 31180
H 10832 28109
S 10037 5162
H 25961 15070
S 22137 27951
H 20732 28963
S 6888 20145
S 1996 24802
S 6386 17513
S 7633 4748
S 13103 6304
S 7469 10096
H 6039 29206
S 30266 13559
S 974 28823
A 24279 27650
A 13066 26525
A 3765 32129
H 30975 27864
A 24957 26672
A 3907 27129
A 3668 11739
H 17198 26642
S 1210 3033
H 28717 20580
H 28854 16832
S 22255 29045
S 18218 14382
S 23554 10438
S 16962 7063
S 15683 19442
A 9354 24126
S 12104 24062
S 11325 13003
S 12299 2257
S 4695 5245
H 3710 15359
S 9219 22654
A 2424 16076
H 12014 14158
H 8570 11702
A 6100 8217
S 30629 29818
S 32767 24499
A 11324 26885
S 14183 13742
S 20621 27102
S 2234 4047
H 2740 19260
H 17327 7823
H 19664 688
A 5484 24428
S 12041 3750
S 29165 16430
A 6859 26573
H 23210 12921
S 19913 30100
H 11766 18743
S 9702 3051
A 3526 31680
S 1183 26236
H 18373 22764
S 22738 21734
H 16984 26621
A 21490 26775
H 22595 191
A 3076 16466
H 21870 20708
S 24067 22160
S 26965 31797
S 23665 20284
S 11635 22736
S 1097 30321
S 11558 15097
A 17731 26251
H 11199 31340
S 32528 8905
S 20662 6463
S 8571 1751
S 19260 14508
S 19280 28961
H 13730 25179
H 22175 8911
H 22096 11531
H 2762 417
S 7990 31137
H 28998 21297
S 19978 523
S 12905 25598
S 7856 17790
H 8874 317
A 5614 28304
S 8919 15782
S 19157 14551
S 5677 6330
H 31944 16817
H 1885 7470
S 3769 5793
H 12759 13956
A 73 18756
S 5887 9979
H 7114 19393
S 7951 32342
H 5235 29217
A 1839 5079
H 19230 31525
S 6041 9171
A 16389 30930
H 9393 21718
H 31230 6179
H 13008 29403
H 31135 26404
S 25832 21073
S 11698 11025
S 12068 25356
H 19135 325
H 18047 14081
S 2702 7204
H 29653 661
A 14833 18760
A 8835 28215
H 27197 8333
A 17474 18161
H 26931 21472
H 5023 30555
A 7500 9681
S 29579 31940
S 23972 8540
S 30464 21340
S 9209 22377
S 23612 6977
S 23667 14054
H 12139 11095
S 27196 6810
S 13791 26907
H 2311 29687
S 1691 7306
H 21270 7317
S 26247 23812
S 12394 24605
A 18656 21882
S 7961 20177
H 17604 19778
S 28155 27889
A 28770 30453
S 31287 28072
S 13079 3390
H 5460 26706
H 10784 14047
H 15567 27952
A 16979 21426
S 3447 6886
A 1679 15065
A 11253 26715
H 20596 31700
H 2368 20178
H 22514 28852
S 17664 28242
S 29475 23134
S 18694 15032
A 13396 14007
S 24665 18957
S 2539 21087
S 20883 3313
A 16702 30140
S 14210 8247
A 21527 21990
S 17478 4876
S 30478 18201
H 6756 32576
A 29101 29454
A 14725 17541
S 32404 19405
S 24541 15810
H 7055 10595
S 5737 24521
S 1262 8430
H 23945 17176
H 816 7998
H 25252 15466
S 8612 7506
A 5692 29391
A 17940 21185
H 19381 19871
S 11015 17531
H 29487 20193
A 713 16619
H 16463 4606
S 5318 6856
S 31690 17617
S 6959 32478
H 14085 1404
S 13521 18137
H 50 6536
S 32156 29623
S 16186 7844
S 2673 11330
H 6771 30736
H 12528 32526
A 4936 18454
S 25512 27508
H 27233 10014
H 8420 5797
S 6127 4675
S 31942 29416
H 4131 18798
S 32618 3736
S 29952 6502
S 30284 3468
S 3583 26715
S 1063 19172
S 13129 23493
H 15620 6770
H 7528 9409
H 1075 26680
H 3010 31785
A 16480 22966
A 10775 17220
S 24079 26618
H 21496 11419
S 4883 31407
S 12162 16327
S 30182 11164
S 13242 15712
S 20974 22362
H 13276 5328
H 15880 19233
H 4098 3126
S 27900 2306
S 24040 8606
H 1955 4842
A 20431 22310
H 12000 16948
S 101 15401
H 6083 13509
S 6719 31629
H 7789 6625
S 14275 14924
S 15499 30775
S 8152 14207
H 5766 13269
A 13811 15975
S 24245 30216
S 23514 10396
A 12343 29271
H 24944 2615
S 19271 11023
H 30902 1342
H 23316 7457
S 5005 29684
S 12694 28223
S 24020 12768
S 16338 10626
S 512 22955
S 4480 5618
H 24380 25115
S 18723 4048
A 8110 11998
A 5605 22645
S 642 31198
A 23059 28374
H 185 89
H 5990 13267
S 1271 10989
H 7982 22512
A 2646 3527
S 17249 26853
H 3853 2716
S 25218 9171
A 4756 15572
S 9004 21913
H 16649 7116
S 5397 25951
H 29627 18996
S 32656 14978
H 1263 2341
H 21302 32026
H 6079 7189
S 23688 14240
S 20906 2964
S 29595 1364
S 20320 19056
S 2362 3184
H 19323 14599
H 11258 21591
S 18715 28918
S 53 26423
H 28067 14183
S 15337 27605
S 23554 32425
S 5100 20362
H 10579 4054
S 14840 398
A 13758 23480
S 9075 30753
S 9683 7722
S 24331 3392
S 14305 416
A 989 21368
A 3569 22697
S 27644 2003
H 4208 24959
S 1923 2582
S 5804 27653
S 1392 18372
S 22959 13499
S 6001 26153
S 11041 26521
A 8697 9938
A 5075 19759
S 32046 7745
S 27061 30181
S 26221 23783
A 22037 28548
S 30386 28005
S 24195 23879
A 3205 15433
S 3757 18463
S 22589 15554
S 9992 17659
S 12216 15104
A 16169 29998
S 2774 6201
S 27404 31317
S 7257 30089
H 25550 24372
H 29440 27180
H 22227 12861
A 5820 31983
S 6153 13820
H 15294 2692
H 644 746
H 468 20731
A 7365 21805
S 16842 27910
A 4578 29400
S 24336 21660
H 28201 19187
S 6929 31446
A 7943 12849
S 15479 28567
A 3818 17046
S 30321 25419
S 10223 28392
S 29697 17011
S 31494 18728
S 20405 28661
H 11398 15832
S 14952 13933
H 4236 1439
S 13264 10220
S 26497 22159
S 3591 8426
H 27531 20312
S 4441 20058
H 581 27027
S 2034 16415
S 9667 6725
S 20807 2123
S 18702 13277
H 27473 31997
A 15256 24421
S 13293 13747
A 10905 11357
H 3841 7778
A 14500 18205
H 11832 18880
H 15270 15131
S 32109 22910
S 11136 32213
H 17190 11873
A 1337 23331
S 26280 27522
S 27854 3794
H 5513 32534
H 1905 25941
S 16591 10383
A 1418 24915
H 11773 9977
S 7963 32242
H 12958 11229
A 13294 16529
A 11789 12583
H 7977 31707
A 5418 9295
H 13169 12843
H 559 16837
A 4552 32151
S 4794 32613
H 19059 98
S 3455 17623
H 16796 13252
S 170 7323
S 9190 22993
H 14268 29251
A 7956 29932
H 8828 8992
H 18093 7424
A 11524 24477
A 22888 27437
S 8190 30722
A 11 25177
H 3178 27298
H 22096 22697
A 2182 17066
S 29869 30978
A 11182 24058
A 3043 5970
H 21840 21971
A 12536 26110
S 28481 22858
S 29659 17613
S 5660 6576
H 17556 16771
S 29304 18557
H 21013 2200
H 9224 25432
S 13624 3741
S 31758 30290
S 16280 11052
H 30378 25973
H 21687 26883
S 31455 1577
S 6549 1705
S 30577 9772
A 9528 17994
H 1763 24841
S 16962 2845
H 28477 9806
S 16160 16102
S 8808 25077
S 3973 8833
S 27196 9664
S 20003 12662
H 14227 19825
S 24291 9465
S 11782 12583
S 14092 5875
S 3609 24655
S 31402 22860
S 7676 25816
A 10528 11433
A 445 13625
H 15452 15777
H 10717 4350
H 30316 215
S 7676 25747
S 6239 5244
H 8873 11020
A 12196 19767
A 9177 25008
S 32482 29175
S 4538 14438
S 31591 4001
H 28833 9879
S 15890 17732
H 28191 7754
A 3102 26004
S 9498 22240
H 20862 6754
A 771 19515
H 5588 12614
S 30363 30752
H 19142 4126
H 25502 11345
A 18469 27680
H 18779 10405
S 16266 15949
S 1827 1810
S 17602 5660
S 5632 23148
S 26769 2119
S 27466 17461
H 7157 8370
S 26013 20269
S 24120 6055
S 22231 14048
H 25587 10337
H 24044 25512
H 7710 31552
S 6570 24543
A 1080 19400
S 22988 13873
S 17933 9826
S 26081 21072
A 5044 10586
S 18940 29817
H 12330 19533
H 26411 23948
H 21176 25306
S 23065 23711
H 23648 21493
S 13423 10328
S 29347 23704
S 5589 15734
S 21257 24568
A 10572 30621
A 9306 10077
S 2681 536
H 27870 9948
H 26579 10370
S 25257 2038
S 8349 5290
A 6029 11296
H 29107 13954
H 5683 26283
S 10789 9329
S 4871 1557
A 10754 17517
S 20223 21146
S 24702 6933
A 9066 23708
S 26244 18792
S 30017 8018
S 20249 19763
A 3235 29616
S 6423 8523
S 32106 30899
S 26152 12841
S 1270 15484
H 18702 4235
H 27505 2308
H 12696 12061
S 18048 27917
S 18128 6499
A 3413 12643
S 28750 16719
H 29285 5061
S 30128 3657
H 13608 29719
S 1957 5024
A 12150 25822
H 18446 3471
A 2455 25081
S 3878 19297
S 9326 18900
S 18862 21080
S 9917 14596
S 28809 6240
S 26720 16420
A 1725 21591
S 11625 32249
S 22507 21552
H 31836 7241
H 19119 832
S 507 14314
S 28753 15543
S 14947 27891
S 30037 10096
S 19053 9751
H 10333 5629
H 25996 31370
S 24128 14301
S 7073 26634
H 31567 16179
S 18295 7906
A 18007 27966
H 25069 29685
S 31294 1794
H 1778 28991
H 4432 8416
S 20708 30539
A 4502 19222
A 651 9194
S 17357 16978
A 26213 32156
S 18133 12009
A 9685 17556
A 590 28596
H 19689 31157
H 27265 30163
S 16347 269
S 10958 24297
S 10505 3319
H 31340 19537
H 4363 25085
S 27554 31998
H 7758 10487
S 12331 3221
S 8382 5003
H 26771 31447
S 5948 26455
S 30675 19023
S 3847 12077
A 10268 21816
H 7328 13284
A 12729 19190
A 9900 27356
S 6651 20225
H 18456 9455
S 11229 1512
A 540 713
A 25077 31402
A 7652 7664
S 15622 19025
H 15058 3611
H 6919 26338
A 6232 23019
H 12512 25498
H 5032 30280
S 17468 1276
A 11957 31760
A 3525 15266
H 20240 2054
S 9822 16904
H 8118 17932
H 568 13522
S 23951 6514
S 21206 31290
A 27281 29042
S 17759 30885
S 346 20641
H 1225 17814
S 7855 27628
A 16322 28021
A 18206 21116
S 16495 2528
H 7109 17544
S 30789 24455
A 4168 17827
A 19637 32194
H 23486 6332
S 355 10585
S 27649 5142
S 25366 2367
H 13953 30974
S 25260 26411
H 14535 6598
S 12726 12119
S 30977 21412
S 14977 459
S 11460 18918
A 3007 27899
H 7050 509
H 5133 7333
S 8088 6217
H 25600 14642
A 9034 21423
A 11654 13065
H 29185 29278
S 28099 4748
A 13394 31517
H 10917 28862
H 2766 30831
S 32749 17863
S 20382 18254
H 28515 4552
A 5381 29461
S 5724 22975
S 14954 5617
S 7924 21877
S 27474 16639
A 3453 19611
S 18613 11219
A 20653 31496
S 23730 14563
H 29739 3637
S 10514 15726
A 8000 11130
S 13920 15300
H 4047 25545
A 3199 13560
H 21743 5589
H 16128 29541
S 28341 8417
S 1711 16772
S 31506 32691
S 3850 30988
A 9387 24960
H 31131 17497
S 16016 24656
H 29304 24699
H 3552 12685
S 22603 14480
S 7861 6329
S 16306 25387
H 13306 19841
A 19680 28916
H 31212 15775
A 10187 20409
S 12664 26707
H 3557 18453
S 7868 21594
S 914 25080
A 8867 12106
A 7853 28375
S 7429 20284
S 757 17981
H 22702 7974
S 30705 17464
A 21370 21783
H 8246 3661
S 24908 24657
H 4412 9678
A 8208 30049
H 3442 2430
S 31125 23369
S 3287 24387
S 1162 32678
S 20222 30089
S 19800 27657
H 7298 2689
S 31629 18941
A 5900 7040
S 26789 5844
A 26916 32369
H 9287 18543
S 30367 27919
S 7910 17117
S 27982 17494
S 22166 27476
S 4016 7670
A 20538 23092
S 8079 7917
S 6995 20752
S 13472 30150
S 10516 31475
A 5570 25082
S 28560 27741
A 8417 21979
H 14356 9641
S 6517 2643
H 9235 21978
S 14048 12185
A 5382 30245
S 14353 29596
